id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38.0,2,0,2000-01-01,0,1,285,0,Sin datos,Valencia
909800,I rent luxury flat Valencia(Spain),4877564,Andrea,POBLATS MARITIMS,EL GRAU,39.46157,-0.33124,Entire home/apt,40.0,360,0,2000-01-01,0,1,365,0,Sin datos,Valencia
1895636,Luxury Attic Old town Valencia,9609511,James,CIUTAT VELLA,LA XEREA,39.47343,-0.37101,Entire home/apt,174.0,30,0,2000-01-01,0,1,365,0,Sin datos,Valencia
2655162,Piso en el casco antiguo. El carmen,13592216,Ana,CIUTAT VELLA,EL CARME,39.47635,-0.38261,Entire home/apt,215.0,1,0,2000-01-01,0,1,365,0,Sin datos,Valencia
3275736,ÁTICO CON TERRAZA IDEAL PAREJAS,670775,Cpi Gestión Encuentra Tu Mansión,EL PLA DEL REAL,JAUME ROIG,39.484,-0.3632,Entire home/apt,218.5,10,0,2000-01-01,0,5,0,0,VT32017V,Valencia
6446418,New flat in front of the Old Turia River,21500764,Julia,L'OLIVERETA,NOU MOLES,39.4749,-0.39908,Entire home/apt,140.0,100,0,2000-01-01,0,3,362,0,Sin datos,Valencia
6633807,Se alquila habitación en Ruzafa,34723372,Francesca,L'EIXAMPLE,RUSSAFA,39.45973,-0.37198,Private room,170.0,90,0,2000-01-01,0,1,365,0,Sin datos,Valencia
6683134,HABITACIONES CENTRO VALENCIA,1461256,Javier,EXTRAMURS,ARRANCAPINS,39.46188,-0.38481,Private room,60.0,2,0,2000-01-01,0,2,228,0,Sin datos,Valencia
7278108,Apartamento confortable,31213505,Amparo,QUATRE CARRERES,NA ROVELLA,39.44971,-0.36954,Entire home/apt,150.0,4,0,2000-01-01,0,1,129,0,Sin datos,Valencia
8220029,Bright 2-bedrooms and 5-balconies apartment,35583945,Fabio,EXTRAMURS,EL BOTANIC,39.4757,-0.38604,Entire home/apt,109.0,31,0,2000-01-01,0,1,153,0,Sin datos,Valencia
12541189,Preciosa habitación en Campana,67951653,Juan Alberto,CAMPANAR,SANT PAU,39.483818903885975,-0.4036916813999453,Private room,36.0,1,0,2000-01-01,0,1,361,0,Sin datos,Valencia
