"Año";"Periodo";"Parámetro";"Denuncias"
"2023";"Trimestre 1";"Agresión sexual con penetración";"83"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"4"
"2023";"Trimestre 1";"Hurtos";"21.809"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.825"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"3.339"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Sustracciones de vehículos";"801"
"2023";"Trimestre 1";"Total";"44.979"
"2023";"Trimestre 1";"Tráfico de drogas";"456"
"2024";"Trimestre 1";"Agresión sexual con penetración";"100"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2024";"Trimestre 1";"Hurtos";"19.371"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.842"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"2.918"
"2024";"Trimestre 1";"Secuestro";"1"
"2024";"Trimestre 1";"Sustracciones de vehículos";"626"
"2024";"Trimestre 1";"Total";"44.639"
"2024";"Trimestre 1";"Tráfico de drogas";"484"
"2025";"Trimestre 1";"Agresión sexual con penetración";"119"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 1";"Hurtos";"19.307"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.139"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"2.621"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Sustracciones de vehículos";"680"
"2025";"Trimestre 1";"Total";"41.238"
"2025";"Trimestre 1";"Tráfico de drogas";"572"
;;
;;
"Métrica":"Denuncias"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-municipio/e97d4660-1653-4e5d-8497-8ceac4976cf1/barcelona/1325"
"Titulo":"Estadística del crimen en Barcelona﻿ "
"Subtitulo":""
