id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,154,3,177,2024-12-01,1.01,4,177,27,VT-41540-V
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,Cpi Gestión Encuentra Tu Mansión,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,390,10,1,2013-07-02,0.01,5,64,0,VT32745V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,312,2,283,2025-02-25,1.70,1,243,37,Nº TURISMO VT36469V  CATEGORIA: standard
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,216,5,549,2025-02-16,3.30,7,96,46,VT-32757-V
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,826,3,8,2024-05-04,0.07,2,143,1,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,140,4,178,2025-03-04,1.20,6,60,26,
193326,Hab. con balcón cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,62,1,358,2025-03-11,2.19,2,135,55,
225070,Habitación cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,65,1,254,2025-03-09,1.57,2,173,41,
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,356,3,4,2024-12-02,0.03,2,299,1,
253764,Sea view apartment with terrace at Cabanyal beach,1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,262,3,69,2024-12-02,0.44,2,154,20,VT 33846 V
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,445,3,140,2024-12-03,0.90,7,268,21,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38,2,0,,,1,285,0,
288057,Charming Studio in the city center,1497590,David,LA SAIDIA,MORVEDRE,39.48367,-0.37377,Entire home/apt,141,4,151,2025-03-14,1.14,3,164,21,VT-36795-V
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47328,-0.38588,Entire home/apt,109,14,203,2024-12-17,1.37,1,144,8,VT-36615-V
313137,Apartamento centro de Valencia.,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46359,-0.37359,Entire home/apt,117,14,76,2025-01-10,0.55,1,226,7,VT-42188-V
323609,"Beach Villa,  patio and bbq. Cabanyal",1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,200,3,41,2024-10-29,0.27,2,156,12,VT 33844 V
346695,Apartment in the historic center  WiFi,1757298,Juan José,CIUTAT VELLA,EL CARME,39.47917,-0.377,Entire home/apt,158,2,656,2025-03-07,4.15,1,258,70,VT-36506-V
361016,Valencia Sky Haven,1145189,Maria Mercedes,EXTRAMURS,ARRANCAPINS,39.46051,-0.38512,Entire home/apt,129,2,258,2025-01-06,1.64,4,162,22,VT-37130-V
364517,City of Arts with private bath,1841798,Marta,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.4546,-0.36013,Private room,58,3,25,2024-10-26,0.18,1,73,3,
411385,"Céntrico, elegante y tranquilo. Ideal familias.",2048040,Laura,CIUTAT VELLA,EL PILAR,39.47252,-0.38299,Entire home/apt,185,2,263,2025-03-10,1.70,1,132,49,VT-37205-V
421405,"Unbeatable location, your own bath",2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.47381,-0.37669,Private room,50,2,373,2025-02-17,2.39,3,100,49,
421406,Sunny room,2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.4736,-0.37814,Private room,,5,19,2024-08-06,0.14,3,2,1,
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,211991268,ValenciaGUEST,CIUTAT VELLA,EL MERCAT,39.47258,-0.37805,Entire home/apt,135,1,277,2024-09-28,1.78,72,0,2,VT-37319V
467151,Cute Apartment Studio Wifi + pool + pádel + sauna,2319737,Javier,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,94,3,89,2025-03-03,0.58,1,63,14,
472858,Habitación individual bonita y luminosa. Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47574,-0.34483,Private room,25,2,47,2025-03-12,0.40,2,271,9,
476415,Sun Arts Apartment @ Balcony & private Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,181,2,38,2025-03-03,0.39,2,119,6,VT-40428-V
478752,ArtApartment Ready to Live/pool/Luxury Residential,2370939,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,167,4,244,2025-01-07,1.57,1,273,13,VT-39935-V
509829,room Valencia center/port,2411133,Ferran,CAMINS AL GRAU,CAMI FONDO,39.46548,-0.35487,Private room,,3,1,2023-06-04,0.05,2,363,0,
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47367,-0.38179,Entire home/apt,143,1,136,2025-03-10,0.88,2,199,20,
547590,CIUDAD DE LAS CIENCIAS CON PARKING PRIVADO & AC,2691959,Guillermo,CAMINS AL GRAU,PENYA-ROJA,39.45842,-0.34611,Entire home/apt,167,6,49,2025-03-10,0.34,1,171,7,
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48482805490139,-0.3685763429131575,Private room,38,3,192,2025-03-08,1.46,2,46,21,
579273,Mercat Central Apartment,2849128,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,64,2,453,2025-03-11,3.23,1,189,68,VT-46067-V
595233,Valencia desing loft lake view. Bikes free parking,2940808,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,128,2,438,2025-03-08,3.00,1,217,46,VT-44610-V
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,156,1,252,2025-02-24,1.77,12,262,20,V-33840-V
643644,Charming flat in Ruzafa,3218281,Salvo,L'EIXAMPLE,RUSSAFA,39.46052,-0.37771,Entire home/apt,168,2,77,2025-01-02,0.53,1,34,10,VT-38102-V
657794,NewWave Russafa Haven,1145189,Maria Mercedes,QUATRE CARRERES,EN CORTS,39.45585,-0.37265,Entire home/apt,162,2,175,2025-02-20,1.15,4,231,15,
663047,Wonderful Penthouse. Parking. MONTHLY RENTALS,3095064,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,147,1,37,2025-02-07,0.34,1,100,9,
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,671,2,330,2025-03-09,2.21,1,255,36,VT-37977-V
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Private room,65,2,413,2025-01-25,2.83,1,29,33,
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,206,2,911,2025-03-04,6.01,1,209,70,VT-38165-V
682219,FALLA Apartment wifi & terrace next,219476,Antonio,LA SAIDIA,SANT ANTONI,39.486785888671875,-0.37511900067329407,Entire home/apt,49,5,68,2024-08-07,0.47,4,0,2,VT-31465-V
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,201,11,81,2024-12-02,0.54,1,312,3,
698779,"Bed&breakfast in Valencia.""RUSSAFA""",2747343,Rosa,L'EIXAMPLE,RUSSAFA,39.46163,-0.3718,Private room,55,1,91,2024-12-02,0.62,1,102,14,
714886,Golf course and beach flat+wifi,3701192,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30483,-0.29189,Entire home/apt,104,2,131,2024-10-06,0.90,1,82,1,VT-33997-V
716081,Ático muy luminoso en Ruzafa,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.46005,-0.37687,Entire home/apt,122,60,30,2025-02-06,0.26,5,261,4,
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,57,2,322,2024-12-15,2.26,1,0,33,VT-40916-V
724380,Ático Abuhardillado del Siglo XVI con Terraza,3744401,Jose,CIUTAT VELLA,EL MERCAT,39.47436,-0.3809,Entire home/apt,125,3,158,2024-12-03,1.32,2,8,17,
760857,Cozy rooftop flat with garden terrace.,372326,Sandro And BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,134,28,160,2025-02-01,1.24,2,263,14,
772380,Charming loft in Plaza Redonda -1,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,141,3,346,2025-03-12,2.35,6,70,53,VT-34649-V
776819,Our Sunny Penthouse. Stay!!!,4096931,Jose,CIUTAT VELLA,EL CARME,39.47784,-0.38039,Entire home/apt,135,3,437,2025-02-26,2.96,8,308,34,
782942,Charming loft in Plaza Redonda -2,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47384,-0.37677,Entire home/apt,141,3,338,2025-03-09,2.34,6,145,57,VT-34650-V
852911,Private room with own bathroom,3813918,Guillermo,L'EIXAMPLE,RUSSAFA,39.45832,-0.37453,Private room,,18,20,2015-07-08,0.15,1,134,0,
853840,Sun Studio City Center @ Top Location-Nice Balcony,2361433,Raúl,CIUTAT VELLA,EL MERCAT,39.47234,-0.3775,Entire home/apt,143,2,106,2025-02-26,0.87,2,81,3,VT-38806-V
864794,Apartamento en el corazón Valencia,3964897,Ricardo,CIUTAT VELLA,LA XEREA,39.4715,-0.37196,Entire home/apt,74,2,75,2025-03-09,2.61,1,208,33,
880307,SUNNY VALENCIA,4655487,Oscar,JESUS,LA RAIOSA,39.45987,-0.38732,Entire home/apt,50,21,128,2025-02-24,0.88,1,26,10,
896304,Penthouse on the beach//wifi,2570450,Morten,POBLATS DEL SUD,EL PERELLONET,39.29884,-0.28764,Entire home/apt,95,2,239,2024-11-23,1.65,1,69,12,
909800,I rent luxury flat Valencia(Spain),4877564,Andrea,POBLATS MARITIMS,EL GRAU,39.46157,-0.33124,Entire home/apt,40,360,0,,,1,365,0,
923390,NOMAD Flats 2 bdroom+wifi,4966350,Avatar Valencia,CIUTAT VELLA,SANT FRANCESC,39.46951,-0.37527,Entire home/apt,229,3,352,2025-02-20,2.40,8,247,55,VT-41254-V
927457,Nuevo Corazón del Centro Loft+WIFI,4356813,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.46949,-0.37353,Entire home/apt,77,3,423,2025-02-28,2.88,1,48,28,VT-38490-V
929005,sunny single bedroom city centre,5001171,Tony,L'EIXAMPLE,RUSSAFA,39.46041,-0.37373,Private room,60,2,80,2024-11-24,0.73,1,283,4,
938734,A centric loft,4708020,Nathan Cosmos,CIUTAT VELLA,SANT FRANCESC,39.46894,-0.37549,Entire home/apt,74,2,39,2025-01-20,0.27,11,257,10,
940297,Unique apartament in the heart of valencia,4708020,Nathan Cosmos,CIUTAT VELLA,EL MERCAT,39.47343,-0.37604,Entire home/apt,122,1,16,2024-12-14,0.11,11,362,2,
959190,Primera línea de playa cerca de Valencia,5220094,Pilar,POBLATS DEL SUD,EL SALER,39.35203,-0.32259,Entire home/apt,140,7,12,2024-10-28,0.08,1,99,8,VT-40126-V
960147,Your home in the center of Valencia,4678441,Manuel,CIUTAT VELLA,EL CARME,39.47753,-0.37966,Entire home/apt,204,2,300,2025-02-24,2.10,1,243,36,VT-37416-V
969359,"N1 Puerto,Playa,Ciudad Artes yCienc",5128253,Yulia,POBLATS MARITIMS,NATZARET,39.44833,-0.33492,Entire home/apt,81,2,331,2025-03-06,2.27,2,65,39,
970809,luxury apartment in the city center,5305009,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,156,4,49,2023-06-12,0.35,3,290,0,VT-37899-V
983548,Flat next to Train Station & Subway,1120386,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,88,3,846,2025-03-06,5.79,1,313,57,VT-36327-V
993282,1 Bdr. APARTMENT CENTER VALENCIA,5456718,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,111,2,161,2025-03-02,1.16,1,156,34,VT-45129-V
995182,ART GALLERY APARTMENT IN THE CENTER,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,361,3,351,2025-03-14,2.46,1,217,58,VT-36511-V
1043431,Ático con terrazas en el carmen,3269596,Victor,CIUTAT VELLA,EL MERCAT,39.47344,-0.37836,Entire home/apt,139,5,472,2025-03-10,3.29,2,170,41,VT-36806-V
1076302,Cozy charming apartment in Valencia,2016540,Cris,EXTRAMURS,LA PETXINA,39.47685,-0.39348,Entire home/apt,170,3,34,2024-08-25,0.24,1,264,4,
1076404,Centric and cozy apartment,2869421,Miguel Ángel,EXTRAMURS,ARRANCAPINS,39.46771240234375,-0.3846670091152191,Entire home/apt,108,2,287,2025-02-24,1.99,1,325,34,VT-42121-V
1105703,MARQUÉS DEL TÚRIA: FLAT IN TOWN,6071434,Mª Carmen,L'EIXAMPLE,LA GRAN VIA,39.46516,-0.36888,Entire home/apt,240,11,7,2014-08-29,0.05,1,88,0,
1114098,"Sunny, Cute Apt Historic Centre 35e",1512611,Lula & Luna,CIUTAT VELLA,EL MERCAT,39.47355,-0.38043,Entire home/apt,131,2,119,2025-03-01,0.83,3,66,45,AT36770V
1145001,"Big apartment in Valencia, Spain",6278049,Lourdes,L'EIXAMPLE,RUSSAFA,39.46043,-0.37314,Entire home/apt,151,2,142,2025-02-09,1.10,1,147,31,
1147656,FAMILY-GOOD VIEWS-SW.POOL-FREE WIFI,6258307,Isabel,CAMPANAR,SANT PAU,39.489837646484375,-0.4043799936771393,Entire home/apt,129,5,243,2025-02-11,1.71,1,181,25,VT-38032-v
1191980,ROOM PERFECT AND BETTER COMFORT,6516174,Grego,L'EIXAMPLE,RUSSAFA,39.46085,-0.37638,Private room,53,5,263,2024-09-24,1.83,2,348,3,
1220708,BEST DEAL TO STAY IN VALENCIA WIFI!,3264741,Clara,LA SAIDIA,SANT ANTONI,39.49138,-0.37427,Entire home/apt,91,14,211,2024-09-09,1.49,1,127,7,
1232560,Acogedor ático con altillo en Ruzafa,5955237,Jose Luis,L'EIXAMPLE,RUSSAFA,39.46312,-0.37694,Entire home/apt,175,1,172,2025-02-17,1.21,1,269,28,VT-38064-V
1254792,Flat with terrace in the city centre,6835647,Carlos,EXTRAMURS,LA ROQUETA,39.46713,-0.38027,Entire home/apt,272,3,58,2025-03-08,0.45,4,238,30,
1255912,Apartment next to the Turia Gardens,6841170,Gema,CAMINS AL GRAU,PENYA-ROJA,39.46339,-0.35666,Entire home/apt,,30,25,2025-01-03,0.19,1,37,1,VT38135-V
