"Año";"Periodo";"Parámetro";"Denuncias"
"2023";"Trimestre 1";"Agresión sexual con penetración";"16"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2023";"Trimestre 1";"Hurtos";"2.558"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"256"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"172"
"2023";"Trimestre 1";"Secuestro";"2"
"2023";"Trimestre 1";"Sustracciones de vehículos";"136"
"2023";"Trimestre 1";"Total";"7.765"
"2023";"Trimestre 1";"Tráfico de drogas";"133"
"2024";"Trimestre 1";"Agresión sexual con penetración";"9"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2024";"Trimestre 1";"Hurtos";"2.575"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"287"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"192"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Sustracciones de vehículos";"201"
"2024";"Trimestre 1";"Total";"8.507"
"2024";"Trimestre 1";"Tráfico de drogas";"120"
"2025";"Trimestre 1";"Agresión sexual con penetración";"11"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 1";"Hurtos";"2.730"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"224"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"192"
"2025";"Trimestre 1";"Secuestro";"1"
"2025";"Trimestre 1";"Sustracciones de vehículos";"178"
"2025";"Trimestre 1";"Total";"8.789"
"2025";"Trimestre 1";"Tráfico de drogas";"108"
;;
;;
"Métrica":"Denuncias"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-municipio/e97d4660-1653-4e5d-8497-8ceac4976cf1/malaga/4282"
"Titulo":"Estadística del crimen en Málaga﻿ "
"Subtitulo":""
