neighbourhood,price_per_m2,monthly_variation,quarterly_variation,annual_variation,historical_max,historical_max_date,historical_max_variation
Malaga,3459.0,0.9,4.2,14.7,3459.0,jun 2025,0.0
Bailen-Miraflores,2845.0,-0.1,3.7,29.8,2849.0,mayo 2025,-0.1
Carretera de Cadiz,3519.0,0.8,1.8,11.6,3519.0,jun 2025,0.0
Centro,4003.0,-0.4,0.4,6.1,4035.0,abr 2025,-0.8
Churriana,2860.0,2.9,6.9,25.7,2860.0,jun 2025,0.0
Ciudad Jardin,2296.0,0.0,9.1,18.2,2296.0,jun 2025,0.0
Cruz De Humilladero,3045.0,2.3,6.5,20.5,3045.0,jun 2025,0.0
Este,4466.0,0.3,4.1,10.8,4466.0,jun 2025,0.0
Puerto de la Torre,2540.0,2.2,0.4,6.6,2547.0,nov 2024,-0.3
Teatinos-Universidad,3554.0,0.3,5.1,11.7,3576.0,dic 2024,-0.6
Campanillas,2165.0,4.8,5.6,4.8,2268.0,dic 2024,-4.5
Palma-Palmilla,2851.0,0.0,0.0,0.0,2851.0,mayo 2025,0.0
