Localización,Precio m2 jun 2025,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Málaga,3.459 €/m2,"+ 0,9 %","+ 4,2 %","+ 14,7 %",3.459 €/m2 jun 2025,"0,0 %"
Bailén - Miraflores,2.845 €/m2,"- 0,1 %","+ 3,7 %","+ 29,8 %",2.849 €/m2 mayo 2025,"- 0,1 %"
Carretera de Cádiz,3.519 €/m2,"+ 0,8 %","+ 1,8 %","+ 11,6 %",3.519 €/m2 jun 2025,"0,0 %"
Centro,4.003 €/m2,"- 0,4 %","+ 0,4 %","+ 6,1 %",4.035 €/m2 abr 2025,"- 0,8 %"
Churriana,2.860 €/m2,"+ 2,9 %","+ 6,9 %","+ 25,7 %",2.860 €/m2 jun 2025,"0,0 %"
Ciudad Jardín,2.296 €/m2,n.d.,"+ 9,1 %","+ 18,2 %",2.296 €/m2 jun 2025,"0,0 %"
Cruz de Humilladero,3.045 €/m2,"+ 2,3 %","+ 6,5 %","+ 20,5 %",3.045 €/m2 jun 2025,"0,0 %"
Este,4.466 €/m2,"+ 0,3 %","+ 4,1 %","+ 10,8 %",4.466 €/m2 jun 2025,"0,0 %"
Puerto de la Torre,2.540 €/m2,"+ 2,2 %","+ 0,4 %","+ 6,6 %",2.547 €/m2 nov 2024,"- 0,3 %"
Teatinos,3.554 €/m2,"+ 0,3 %","+ 5,1 %","+ 11,7 %",3.576 €/m2 dic 2024,"- 0,6 %"
