neighbourhood,distrito,precio_m2_mayo2025barrio,variacion_anual
El Raval,Ciutat Vella,4128,15.6
El Gótico,Ciutat Vella,4959,-1.7
La Barceloneta,Ciutat Vella,5695,10.2
Sant Pere Santa Caterina i la Ribera,Ciutat Vella,5007,6.5
La Dreta de l'Eixample,Eixample,7579,5.7
L'Antiga Esquerra de l'Eixample,Eixample,6440,11.1
La Nova Esquerra de l'Eixample,Eixample,5360,3.1
Fort Pienc,Eixample,5073,4.8
Sagrada Família,Eixample,5614,16.8
Sant Antoni,Eixample,5020,4.8
El Poble Sec,Sants-Montjuïc,4493,16.0
La Marina del Prat Vermell,Sants-Montjuïc,4292,17.4
La Marina de Port,Sants-Montjuïc,3340,15.2
La Font de la Guatlla,Sants-Montjuïc,4165,8.9
Hostafrancs,Sants-Montjuïc,4376,6.3
La Bordeta,Sants-Montjuïc,4128,18.9
Sants,Sants-Montjuïc,4581,14.5
Les Corts,Les Corts,5818,14.9
La Maternitat i Sant Ramon,Les Corts,4778,12.2
Pedralbes,Les Corts,7430,9.8
Vallvidrera el Tibidabo i les Planes,Sarrià-Sant Gervasi,6348,9.6
Sarrià,Sarrià-Sant Gervasi,6669,1.8
Les Tres Torres,Sarrià-Sant Gervasi,6909,9.0
Sant Gervasi-La Bonanova,Sarrià-Sant Gervasi,5937,0.8
Sant Gervasi-Galvany,Sarrià-Sant Gervasi,6920,15.4
El Putxet i el Farró,Sarrià-Sant Gervasi,5705,14.5
Vallcarca i els Penitents,Gràcia,4514,4.0
El Coll,Gràcia,2950,1.6
La Salut,Gràcia,4634,4.7
Vila de Gràcia,Gràcia,5596,7.0
Camp d'en Grassot i Gràcia Nova,Gràcia,5427,11.7
El Baix Guinardó,Horta-Guinardó,4574,7.9
Can Baró,Horta-Guinardó,3685,14.0
El Guinardó,Horta-Guinardó,4005,10.4
La Font d'en Fargues,Horta-Guinardó,3979,0.6
El Carmel,Horta-Guinardó,2941,13.1
La Teixonera,Horta-Guinardó,3076,14.0
Sant Genís dels Agudells,Horta-Guinardó,3685,14.3
Montbau,Horta-Guinardó,3685,14.3
La Vall d'Hebron,Horta-Guinardó,3685,14.3
La Clota,Horta-Guinardó,3685,14.3
Horta,Horta-Guinardó,3685,14.3
Vilapicina i la Torre Llobeta,Nou Barris,2599,8.6
Porta,Nou Barris,3338,5.0
El Turó de la Peira,Nou Barris,2385,7.2
Can Peguera,Nou Barris,2385,7.2
La Guineueta,Nou Barris,2599,8.6
Canyelles,Nou Barris,2351,13.2
Les Roquetes,Nou Barris,2351,13.2
Verdun,Nou Barris,2947,16.1
La Prosperitat,Nou Barris,2840,11.8
La Trinitat Nova,Nou Barris,2599,8.6
Torre Baró,Nou Barris,1543,0.0
Ciutat Meridiana,Nou Barris,1543,0.0
Vallbona,Nou Barris,1543,0.0
La Trinitat Vella,Sant Andreu,3591,8.5
Baró de Viver,Sant Andreu,3591,8.5
El Bon Pastor,Sant Andreu,2313,8.6
Sant Andreu,Sant Andreu,4084,10.3
La Sagrera,Sant Andreu,3881,8.4
El Congrés i els Indians,Sant Andreu,3819,12.9
Navas,Sant Andreu,4194,15.1
El Camp de l'Arpa del Clot,Sant Martí,4375,12.4
El Clot,Sant Martí,4743,14.7
El Parc i la Llacuna del Poblenou,Sant Martí,5244,3.1
La Vila Olímpica del Poblenou,Sant Martí,5957,1.5
El Poblenou,Sant Martí,5616,0.2
Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8078,11.7
El Besòs i el Maresme,Sant Martí,2486,10.8
Provençals del Poblenou,Sant Martí,4125,13.9
Sant Martí de Provençals,Sant Martí,3749,15.5
La Verneda i la Pau,Sant Martí,4743,14.7
