Año,Periodo,Precio Valencia,Precio España,city
2007,Trimestre 1,1988.7,1790.07,Valencia
2007,Trimestre 2,2077.27,1790.07,Valencia
2007,Trimestre 3,2198.5,1790.07,Valencia
2007,Trimestre 4,2296.58,1790.07,Valencia
2008,Trimestre 1,2386.34,1758.5425000000002,Valencia
2008,Trimestre 2,2206.92,1758.5425000000002,Valencia
2008,Trimestre 3,2729.3,1758.5425000000002,Valencia
2008,Trimestre 4,2099.61,1758.5425000000002,Valencia
2009,Trimestre 1,1930.58,1687.493333333333,Valencia
2009,Trimestre 2,1913.69,1687.493333333333,Valencia
2009,Trimestre 3,1769.61,1687.493333333333,Valencia
2009,Trimestre 4,1860.84,1687.493333333333,Valencia
2010,Trimestre 1,1857.05,1646.865,Valencia
2010,Trimestre 2,1976.42,1646.865,Valencia
2010,Trimestre 3,1725.1,1646.865,Valencia
2010,Trimestre 4,1760.41,1646.865,Valencia
2011,Trimestre 1,1686.74,1531.8591666666664,Valencia
2011,Trimestre 2,1540.91,1531.8591666666664,Valencia
2011,Trimestre 3,1469.28,1531.8591666666664,Valencia
2011,Trimestre 4,1510.35,1531.8591666666664,Valencia
2012,Trimestre 1,1320.23,1358.448333333333,Valencia
2012,Trimestre 2,1283.13,1358.448333333333,Valencia
2012,Trimestre 3,1315.13,1358.448333333333,Valencia
2012,Trimestre 4,1534.19,1358.448333333333,Valencia
2013,Trimestre 1,1150.21,1243.5408333333335,Valencia
2013,Trimestre 2,1170.12,1243.5408333333335,Valencia
2013,Trimestre 3,1101.71,1243.5408333333335,Valencia
2013,Trimestre 4,1384.0,1243.5408333333335,Valencia
2014,Trimestre 1,1017.09,1250.055833333333,Valencia
2014,Trimestre 2,1080.19,1250.055833333333,Valencia
2014,Trimestre 3,1080.66,1250.055833333333,Valencia
2014,Trimestre 4,1068.81,1250.055833333333,Valencia
2015,Trimestre 1,1070.8,1271.5616666666667,Valencia
2015,Trimestre 2,1071.38,1271.5616666666667,Valencia
2015,Trimestre 3,1153.86,1271.5616666666667,Valencia
2015,Trimestre 4,1096.45,1271.5616666666667,Valencia
2016,Trimestre 1,1086.54,1304.2966666666669,Valencia
2016,Trimestre 2,1136.81,1304.2966666666669,Valencia
2016,Trimestre 3,1082.75,1304.2966666666669,Valencia
2016,Trimestre 4,1150.78,1304.2966666666669,Valencia
2017,Trimestre 1,1189.17,1367.0166666666667,Valencia
2017,Trimestre 2,1180.52,1367.0166666666667,Valencia
2017,Trimestre 3,1169.92,1367.0166666666667,Valencia
2017,Trimestre 4,1222.56,1367.0166666666667,Valencia
2018,Trimestre 1,1274.18,1402.74,Valencia
2018,Trimestre 2,1327.75,1402.74,Valencia
2018,Trimestre 3,1362.77,1402.74,Valencia
2007,Enero,2140.2625,1771.34,Valencia
2007,Febrero,2140.2625,1715.02,Valencia
2007,Marzo,2140.2625,1778.21,Valencia
2007,Abril,2140.2625,1773.54,Valencia
2007,Mayo,2140.2625,1806.79,Valencia
2007,Junio,2140.2625,1849.96,Valencia
2007,Julio,2140.2625,1886.68,Valencia
2007,Agosto,2140.2625,1661.57,Valencia
2007,Septiembre,2140.2625,1800.59,Valencia
2007,Octubre,2140.2625,1784.15,Valencia
2007,Noviembre,2140.2625,1800.89,Valencia
2007,Diciembre,2140.2625,1852.1,Valencia
2008,Enero,2355.5425,1790.49,Valencia
2008,Febrero,2355.5425,1758.3,Valencia
2008,Marzo,2355.5425,1788.8,Valencia
2008,Abril,2355.5425,1791.67,Valencia
2008,Mayo,2355.5425,1765.94,Valencia
2008,Junio,2355.5425,1806.51,Valencia
2008,Julio,2355.5425,1799.46,Valencia
2008,Agosto,2355.5425,1648.27,Valencia
2008,Septiembre,2355.5425,1744.49,Valencia
2008,Octubre,2355.5425,1765.74,Valencia
2008,Noviembre,2355.5425,1687.57,Valencia
2008,Diciembre,2355.5425,1755.27,Valencia
2009,Enero,1868.6799999999998,1708.89,Valencia
2009,Febrero,1868.6799999999998,1677.76,Valencia
2009,Marzo,1868.6799999999998,1699.88,Valencia
2009,Abril,1868.6799999999998,1698.65,Valencia
2009,Mayo,1868.6799999999998,1698.04,Valencia
2009,Junio,1868.6799999999998,1704.48,Valencia
2009,Julio,1868.6799999999998,1719.54,Valencia
2009,Agosto,1868.6799999999998,1570.93,Valencia
2009,Septiembre,1868.6799999999998,1709.41,Valencia
2009,Octubre,1868.6799999999998,1654.49,Valencia
2009,Noviembre,1868.6799999999998,1674.7,Valencia
2009,Diciembre,1868.6799999999998,1733.15,Valencia
2010,Enero,1829.7450000000001,1701.22,Valencia
2010,Febrero,1829.7450000000001,1687.45,Valencia
2010,Marzo,1829.7450000000001,1668.2,Valencia
2010,Abril,1829.7450000000001,1678.72,Valencia
2010,Mayo,1829.7450000000001,1675.8,Valencia
2010,Junio,1829.7450000000001,1750.51,Valencia
2010,Julio,1829.7450000000001,1636.3,Valencia
2010,Agosto,1829.7450000000001,1484.71,Valencia
2010,Septiembre,1829.7450000000001,1607.28,Valencia
2010,Octubre,1829.7450000000001,1606.9,Valencia
2010,Noviembre,1829.7450000000001,1607.69,Valencia
2010,Diciembre,1829.7450000000001,1657.6,Valencia
2011,Enero,1551.8200000000002,1589.82,Valencia
2011,Febrero,1551.8200000000002,1515.44,Valencia
